id,name,purpose,mmname,position,party
2221,All-Party Parliamentary Group on Water and Sanitation in the Third World,To monitor issues regarding water and sanitation in the third world.,Kelvin Hopkins,Officer,Independent
2222,All-Party Parliamentary Jordan Group,To promote interest in and knowledge of Jordan and to establish contacts between parliamentarians of the two countries.,Kerry McCarthy,Vice Chair,Labour
2223,All-Party Parliamentary Group on Mozambique,To build a greater understanding in Parliament of Mozambique and its regional and international roles.,Kerry McCarthy,Vice Chair,Labour
2224,All-Party Parliamentary Group on Russia,To promote good relations between the parliaments and peoples of the UK and the Russia.,Kerry McCarthy,Secretary,Labour
2225,All-Party Parliamentary Group on Somaliland,"To promote understanding of and support for Somaliland's achievements in building peace, democratic governance and a sovereign state in the Horn of Africa, its important role in combatting terrorism and piracy in the region and beyond, and the need for continued UK assistance for Somaliland's development.",Kerry McCarthy,Vice Chair,Labour
2226,All-Party Parliamentary Group for Tibet,"To put pressure on Her Majesty's Government to encourage negotiations between the Chinese Government and representatives of the Tibetan Government in exile, whilst recognising that Tibet is an occupied country which had independent ties with Britain.",Kerry McCarthy,Officer,Labour
2227,All-Party Parliamentary Group on Agriculture and Food for Development,"To facilitate informed debate on food, agriculture and nutrition in the UK Parliament and engage with the Department for International Development, other donors and national governments on these issues.",Kerry McCarthy,Vice-Chair,Labour
2228,All-Party Parliamentary Group on Agroecology for Sustainable Food and Farming,"Providing a forum for parliamentarians, leading academics, farmers and NGOs to look at how agroecology food and farming principles can offer economic viability and promote long-term environmental protection. Combining 21st century science with traditional farming techniques and knowledge, the APPG promotes a food chain for the 21st century.",Kerry McCarthy,Chair & Registered Contact,Labour
2229,All-Party Parliamentary Group on Cardiac Risk in the Young,To promote amongst parliamentarians the issue of cardiac risk in the young (CRY); to inform policy decisions and public debate relating to CRY; and to enable communications between interested parties and relevant parliamentarians.,Kerry McCarthy,Officer,Labour
2230,All-Party Parliamentary Group on Food Waste,"To bring together parliamentarians with an interest in this issue; to facilitate informed discussion with policy-makers, the food industry and environmental and food redistribution organisations; to promote policies which will reduce food waste.",Kerry McCarthy,Chair & Registered Contact,Labour
2231,All-Party Parliamentary Group for Fruit and Vegetable Farmers,To raise awareness and understanding of the fruit and vegetable industry and to provide the voice of fruit and vegetable farmers inside and outside Parliament.,Kerry McCarthy,Vice Chair,Labour
2232,All-Party Parliamentary Group on Music,To provide a discussion forum between the music industry and parliamentarians.,Kerry McCarthy,Vice Chair,Labour
2233,Ocean Conservation All-Party Parliamentary Group,"To address the most urgent ocean conservation issues affecting our marine and coastal areas, including but not limited to: plastic pollution, water quality, marine protected areas, climate change and coastal developments.",Kerry McCarthy,Treasurer,Labour
2234,Performers' Alliance All-Party Parliamentary Group,"To work alongside the unions of the Performers' Alliance - Equity, the Musicians' Union and the Writers' Guild of Great Britain - to raise issues affecting performers and writers across the arts community and to provide a forum for issues relating to arts and culture policy.",Kerry McCarthy,Vice-Chair,Labour
2235,"All-Party Parliamentary Group on Sport, Modern Slavery and Human Rights","To find solutions to pressing human rights problems affecting large-scale sporting events around the world, with a focus on three specific areas: the human rights impacts of the cycle of mega-sporting events, the impacts of the UK Modern Slavery Act on professional sport companies, and discrimination in sport in all its forms.",Kerry McCarthy,Vice Chair,Labour
2236,All-Party Parliamentary Sustainable Resource Group,"To develop a deeper understanding between government, parliament and the sustainable resource management sector of the sustainable management of waste.",Kerry McCarthy,Officer,Labour
2237,All-Party Parliamentary Group on Ticket Abuse,"To promote and provide a forum for the discussion of issues relating to the sale and resale of tickets, for events, with a particular focus on devising solutions to the problem of ticket touting.",Kerry McCarthy,Vice Chair,Labour
2238,All-Party Parliamentary Group on Vegetarianism and Veganism,"To provide a forum for parliamentarians, academics, organisations and interested individuals to meet to promote and raise awareness of vegetarianism and veganism and to discuss issues relating to vegetarian and vegan lifestyles.",Kerry McCarthy,Officer,Labour
2239,All-Party Parliamentary Group on Brain Tumours,"To raise awareness of the issues facing the brain tumour community in order to improve research, diagnosis, information, support, treatment and care outcomes.",Kevin Brennan,Vice Chair,Labour
2240,All-Party Parliamentary Group on Folk Arts,To promote folk arts.,Kevin Brennan,Chair & Registered Contact,Labour
2241,All-Party Parliamentary Group on Music,To provide a discussion forum between the music industry and parliamentarians.,Kevin Brennan,Co-Chair,Labour
2242,All-Party Parliamentary Group on Ticket Abuse,"To promote and provide a forum for the discussion of issues relating to the sale and resale of tickets, for events, with a particular focus on devising solutions to the problem of ticket touting.",Kevin Brennan,Vice Chair,Labour
2243,All-Party Parliamentary Group for the Armed Forces,To promote better understanding of Her Majesty's Armed Forces in Parliament.,Kevin Foster,Vice-Chairman (Royal Navy),Conservative
